ID,CrimeCode,Description,Weapon,Incidents
186184,4E,I,HANDS,1
186186,4D,I,HANDS,1
186189,4C,I,OTHER,1
186193,4E,I,HANDS,1
186195,4E,O,HANDS,1
186196,2A,I,OTHER,1
186207,3AO,O,OTHER,1
186215,4D,I,HANDS,1
186217,4E,I,HANDS,1
186219,3AF,O,FIREARM,1
186222,3AF,O,FIREARM,1
186223,3AF,O,FIREARM,1
186227,4E,I,HANDS,1
186229,4B,I,KNIFE,1
186230,4E,I,HANDS,1
186231,3AF,O,FIREARM,1
186235,4E,I,HANDS,1
186237,4E,I,HANDS,1
186238,4E,I,HANDS,1
186239,4E,I,HANDS,1
186241,4E,O,HANDS,1
186244,4E,I,HANDS,1
186266,4E,I,HANDS,1
186268,4C,I,OTHER,1
186272,4C,I,OTHER,1
186275,3CF,I,FIREARM,1
186278,4D,I,HANDS,1
186280,4D,O,HANDS,1
186288,4E,I,HANDS,1
186289,3AK,O,KNIFE,1
186292,4E,I,HANDS,1
186296,3AF,O,FIREARM,1
186298,4E,I,HANDS,1
186305,3JK,I,KNIFE,1
186307,4E,I,HANDS,1
186316,4E,,HANDS,1
186317,4C,O,OTHER,1
186318,4D,O,HANDS,1
186321,3AF,O,FIREARM,1
186325,4E,O,HANDS,1
186330,4B,O,KNIFE,1
186332,3AF,O,FIREARM,1
186333,4E,O,HANDS,1
186335,4A,O,FIREARM,1
186336,4E,I,HANDS,1
186337,1F,O,FIREARM,1
186338,9S,O,FIREARM,1
186340,4B,,KNIFE,1
186341,4E,I,HANDS,1
186346,4D,I,HANDS,1
186351,4E,I,HANDS,1
186354,4E,O,HANDS,1
186356,3AK,,KNIFE,1
186357,3AK,O,KNIFE,1
186358,3AK,I,KNIFE,1
186365,3AK,I,KNIFE,1
186368,4B,O,KNIFE,1
186369,4E,I,HANDS,1
186370,4E,O,HANDS,1
186371,4E,I,HANDS,1
186374,4E,I,HANDS,1
186375,4E,O,HANDS,1
186376,4E,O,HANDS,1
186377,4E,O,HANDS,1
186380,4E,I,HANDS,1
186383,4E,O,HANDS,1
